song_id,title,hidden,author,themes,ccli_number,last_scheduled_at,last_used_at,recent_uses_found,recent_use_1,recent_use_2,recent_use_3,days_since_last_use,usage_band,recency_band,bpm,length_seconds,meter,arrangement_name
25129320,Ocean Floor,False,"Ben Cissell, Bob Herdman, Mark Stuart, Tyler Burkum, and Will McGinniss","Forgiven, Forgiveness, Praise, Confidence",3500138,2023-10-27T21:00:00Z,2023-10-27T21:00:00Z,1,2023-10-27T21:00:00Z,,,854,Infrequent,365d+,,270,,Default Arrangement
25129318,Simple Gospel,False,Brock Human and Will Reagan,,7047285,2023-10-27T21:00:00Z,2023-10-27T21:00:00Z,1,2023-10-27T21:00:00Z,,,854,Infrequent,365d+,,0,,Default Arrangement
25031519,Come Now Is The Time To Worship,False,Brian Doerksen,"Bow, Confess, Heart, , Worship",2430948,2023-10-15T10:00:00Z,2023-10-15T10:00:00Z,1,2023-10-15T10:00:00Z,,,866,Infrequent,365d+,,300,4/4,Default Arrangement
25011932,Psalm 23: Surely Goodness Surely Mercy,False,Shane Barnard,,7054930,2023-10-14T11:00:00Z,2023-10-14T11:00:00Z,1,2023-10-14T11:00:00Z,,,867,Infrequent,365d+,,300,4/4,Default Arrangement
24747138,Jesus I Am Resting Resting,False,David Hampton and Jean Sophia Pigott,"Faith, Hope, Rest, Trust, Worship",2697066,2023-08-27T10:00:00Z,2023-08-27T10:00:00Z,1,2023-08-27T10:00:00Z,,,915,Infrequent,365d+,,300,,Default Arrangement
24597226,Jesus Name Above All Names,False,Naida Hearn,"His Name, Jesus, Worship",21291,2023-07-23T10:00:00Z,2023-07-23T10:00:00Z,1,2023-07-23T10:00:00Z,,,950,Infrequent,365d+,,,,
24338113,Lead On O King Eternal,False,"Ernest Warburton Shurtleff, Henry Thomas Smart, and Ovid Young",,3325502,2023-05-28T10:00:00Z,2023-05-28T10:00:00Z,1,2023-05-28T10:00:00Z,,,1006,Infrequent,365d+,,180,4/4,Default Arrangement
24265288,We Fall Down,False,Chris Tomlin,", Holiness, Humility, Submission, Worship, Praise",2437367,2023-05-14T10:00:00Z,2023-05-14T10:00:00Z,1,2023-05-14T10:00:00Z,,,1020,Infrequent,365d+,,240,4/4,Default Arrangement
24238280,Better Is One Day,False,Matt Redman,"Drawing Near to God, Living God, Satisfaction in Christ, , The Church, Worship, Trust, Holy Spirit, Devotion, Presence",1097451,2023-05-07T10:00:00Z,2023-05-07T10:00:00Z,1,2023-05-07T10:00:00Z,,,1027,Infrequent,365d+,,0,,Default Arrangement
24129012,I Can't Even Walk (Without You Holding My Hand),False,,,,2023-04-16T10:00:00Z,2023-04-16T10:00:00Z,1,2023-04-16T10:00:00Z,,,1048,Infrequent,365d+,,240,4/4,Default Arrangement
23885766,Walking Free,False,"AJ Pruis, Matthew West, and Micah Tyler","Freedom, Mercy, Redemption, Savior, Victory",7151181,2023-03-26T10:00:00Z,2023-03-26T10:00:00Z,1,2023-03-26T10:00:00Z,,,1069,Infrequent,365d+,,300,4/4,Default Arrangement
